seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12749,711807,1,43487222,70,Ransford-Yeboah Königsdörffer (Hamburg SV) Goal at 5',Ransford-Yeboah Königsdörffer Go,1,300,5',127,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,300961.0,Ransford-Yeboah Königsdörffer,2024-08-03 09:27:20
12749,711807,2,43487351,70,Ransford-Yeboah Königsdörffer (Hamburg SV) Goal at 35',Ransford-Yeboah Königsdörffer Go,1,2100,35',127,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,300961.0,Ransford-Yeboah Königsdörffer,2024-08-03 09:27:20
12749,711807,3,43487372,94,Tim Lemperle (FC Cologne) Yellow Card at 39',Tim Lemperle Yellow Card,1,2340,39',122,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,303792.0,Tim Lemperle,2024-08-03 09:27:20
12749,711807,4,43487412,94,Miro Muheim (Hamburg SV) Yellow Card at 48',Miro Muheim Yellow Card,1,2700,45'+3',127,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,243626.0,Miro Muheim,2024-08-03 09:27:20
12749,711807,5,43487553,76,Linton Maina (FC Cologne) Substitution at 57',Linton Maina Substitution,2,3420,57',122,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,231173.0,Linton Maina,2024-08-03 09:27:20
12749,711807,6,43487554,76,Sargis Adamyan (FC Cologne) Substitution at 57',Sargis Adamyan Substitution,2,3420,57',122,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,182427.0,Sargis Adamyan,2024-08-03 09:27:20
12749,711807,5,43487553,76,Linton Maina (FC Cologne) Substitution at 57',Linton Maina Substitution,2,3420,57',122,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,191352.0,Luca Waldschmidt,2024-08-03 09:27:20
12749,711807,6,43487554,76,Sargis Adamyan (FC Cologne) Substitution at 57',Sargis Adamyan Substitution,2,3420,57',122,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,359707.0,Damion Downs,2024-08-03 09:27:20
12749,711807,7,43487572,76,Fabio Baldé (Hamburg SV) Substitution at 65',Fabio Baldé Substitution,2,3900,65',127,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388392.0,Fabio Baldé,2024-08-03 09:27:20
12749,711807,7,43487572,76,Fabio Baldé (Hamburg SV) Substitution at 65',Fabio Baldé Substitution,2,3900,65',127,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,206999.0,Jean-Luc Dompé,2024-08-03 09:27:20
